,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,OUW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
47,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,47,16:32,"MISS JUMPER by GUY,ALEXIS",,,,,,,"MISS JUMPER by GUY,ALEXIS",1,jumper,missed,Centre,alexis guy,,992
48,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,48,--,,,,,"REBOUND DEF by KENNEBREW,KRISTEN",,,"REBOUND DEF by KENNEBREW,KRISTEN",1,defensive rebound,,oglethorpe,kristen kennebrew,,
49,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,49,16:18,,5,,8 (+3),"GOOD 3PTR by KENNEBREW,KRISTEN",OUW 5-8 (-3),,"GOOD 3PTR by KENNEBREW,KRISTEN",1,three pointer,good,oglethorpe,kristen kennebrew,3,978
50,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,50,--,,,,,"ASSIST  by ATWATER,AISHA",,,"ASSIST  by ATWATER,AISHA",1,assist,,oglethorpe,aisha atwater,,
51,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,51,15:47,"GOOD 3PTR by SCHAD,OLIVIA",8,,8,,CENTRE_W 8-8 (0),,"GOOD 3PTR by SCHAD,OLIVIA",1,three pointer,good,Centre,olivia schad,3,947
52,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,52,--,"ASSIST  by JUDY,MICHELE",,,,,,,"ASSIST  by JUDY,MICHELE",1,assist,,Centre,michele judy,,
53,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,53,15:35,,8,,11 (+3),"GOOD 3PTR by MERRYMAN,RAEGAN",OUW 8-11 (-3),,"GOOD 3PTR by MERRYMAN,RAEGAN",1,three pointer,good,oglethorpe,raegan merryman,3,935
54,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,54,--,,,,,"ASSIST  by KENNEBREW,KRISTEN",,,"ASSIST  by KENNEBREW,KRISTEN",1,assist,,oglethorpe,kristen kennebrew,,
55,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,55,15:07,"TURNOVER  by JUDY,MICHELE",,,,,,,"TURNOVER  by JUDY,MICHELE",1,turnover,,Centre,michele judy,,907
56,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,56,14:56,"FOUL  by JUDY,MICHELE",,,,,,,"FOUL  by JUDY,MICHELE",1,foul,,Centre,michele judy,,896
57,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,57,14:56,,8,,12 (+4),"GOOD FT by ATWATER,AISHA",OUW 8-12 (-4),,"GOOD FT by ATWATER,AISHA",1,free throw,good,oglethorpe,aisha atwater,1,896
58,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,58,14:56,,8,,13 (+5),"GOOD FT by ATWATER,AISHA",OUW 8-13 (-5),,"GOOD FT by ATWATER,AISHA",1,free throw,good,oglethorpe,aisha atwater,1,896
59,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,59,14:56,"SUB IN by COLLIVER,OLIVIA",,,,,,,"SUB IN by COLLIVER,OLIVIA",1,subbing in,,Centre,olivia colliver,,896
60,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,60,14:56,"SUB IN by KELLAM,PAIGE",,,,,,,"SUB IN by KELLAM,PAIGE",1,subbing in,,Centre,paige kellam,,896
61,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,61,14:56,"SUB OUT by GUY,ALEXIS",,,,,,,"SUB OUT by GUY,ALEXIS",1,subbing out,,Centre,alexis guy,,896
62,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,62,14:56,"SUB OUT by SCHAD,OLIVIA",,,,,,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,896
63,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,63,14:56,,,,,"SUB IN by CARROLL,DANNELLE",,,"SUB IN by CARROLL,DANNELLE",1,subbing in,,oglethorpe,dannelle carroll,,896
64,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,64,14:56,,,,,"SUB IN by BLECKLEY,ALI",,,"SUB IN by BLECKLEY,ALI",1,subbing in,,oglethorpe,ali bleckley,,896
65,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,65,14:56,,,,,"SUB OUT by ATWATER,AISHA",,,"SUB OUT by ATWATER,AISHA",1,subbing out,,oglethorpe,aisha atwater,,896
