,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
43,12,millsaps,Millsaps College,Centre College,46-56,46,56,"30, 16, 46","28, 28, 56",30,16,46,28,28,56,"6-7, 2-1 SAA","11-3, 3-0 SAA",01/11/15,Lose,316,No Location Recorded,1:00 PM,H,43,15:17,"SUB IN by HOLMES,BEVERLY",,,,,,,"SUB IN by HOLMES,BEVERLY",1,subbing in,,millsaps college,beverly holmes,,917
44,12,millsaps,Millsaps College,Centre College,46-56,46,56,"30, 16, 46","28, 28, 56",30,16,46,28,28,56,"6-7, 2-1 SAA","11-3, 3-0 SAA",01/11/15,Lose,316,No Location Recorded,1:00 PM,H,44,15:17,"SUB OUT by RANDLE,KELLI",,,,,,,"SUB OUT by RANDLE,KELLI",1,subbing out,,millsaps college,kelli randle,,917
45,12,millsaps,Millsaps College,Centre College,46-56,46,56,"30, 16, 46","28, 28, 56",30,16,46,28,28,56,"6-7, 2-1 SAA","11-3, 3-0 SAA",01/11/15,Lose,316,No Location Recorded,1:00 PM,H,45,15:17,"SUB OUT by BROOKS,MIAH",,,,,,,"SUB OUT by BROOKS,MIAH",1,subbing out,,millsaps college,miah brooks,,917
46,12,millsaps,Millsaps College,Centre College,46-56,46,56,"30, 16, 46","28, 28, 56",30,16,46,28,28,56,"6-7, 2-1 SAA","11-3, 3-0 SAA",01/11/15,Lose,316,No Location Recorded,1:00 PM,H,46,15:17,,,,,"SUB IN by ANDREASSEN,CAROLINE",,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,917
47,12,millsaps,Millsaps College,Centre College,46-56,46,56,"30, 16, 46","28, 28, 56",30,16,46,28,28,56,"6-7, 2-1 SAA","11-3, 3-0 SAA",01/11/15,Lose,316,No Location Recorded,1:00 PM,H,47,15:17,,,,,"SUB IN by MCKNIGHT,KAITLYN",,,"SUB IN by MCKNIGHT,KAITLYN",1,subbing in,,Centre,kaitlyn mcknight,,917
48,12,millsaps,Millsaps College,Centre College,46-56,46,56,"30, 16, 46","28, 28, 56",30,16,46,28,28,56,"6-7, 2-1 SAA","11-3, 3-0 SAA",01/11/15,Lose,316,No Location Recorded,1:00 PM,H,48,15:17,,,,,"SUB IN by SCHAD,OLIVIA",,,"SUB IN by SCHAD,OLIVIA",1,subbing in,,Centre,olivia schad,,917
49,12,millsaps,Millsaps College,Centre College,46-56,46,56,"30, 16, 46","28, 28, 56",30,16,46,28,28,56,"6-7, 2-1 SAA","11-3, 3-0 SAA",01/11/15,Lose,316,No Location Recorded,1:00 PM,H,49,15:17,,,,,"SUB IN by COLLIVER,OLIVIA",,,"SUB IN by COLLIVER,OLIVIA",1,subbing in,,Centre,olivia colliver,,917
50,12,millsaps,Millsaps College,Centre College,46-56,46,56,"30, 16, 46","28, 28, 56",30,16,46,28,28,56,"6-7, 2-1 SAA","11-3, 3-0 SAA",01/11/15,Lose,316,No Location Recorded,1:00 PM,H,50,15:17,,,,,"SUB OUT by JUDY,MICHELE",,,"SUB OUT by JUDY,MICHELE",1,subbing out,,Centre,michele judy,,917
51,12,millsaps,Millsaps College,Centre College,46-56,46,56,"30, 16, 46","28, 28, 56",30,16,46,28,28,56,"6-7, 2-1 SAA","11-3, 3-0 SAA",01/11/15,Lose,316,No Location Recorded,1:00 PM,H,51,15:17,,,,,"SUB OUT by GUY,ALEXIS",,,"SUB OUT by GUY,ALEXIS",1,subbing out,,Centre,alexis guy,,917
52,12,millsaps,Millsaps College,Centre College,46-56,46,56,"30, 16, 46","28, 28, 56",30,16,46,28,28,56,"6-7, 2-1 SAA","11-3, 3-0 SAA",01/11/15,Lose,316,No Location Recorded,1:00 PM,H,52,15:17,,,,,"SUB OUT by HARTLAGE,MAGGIE",,,"SUB OUT by HARTLAGE,MAGGIE",1,subbing out,,Centre,maggie hartlage,,917
