,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RHODE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
35,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,35,15:46,"MISS LAYUP by DANIELS,SYMONE",,,,,,,"MISS LAYUP by DANIELS,SYMONE",1,layup,missed,rhodes college,symone daniels,,946
36,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,36,--,,,,,"REBOUND DEF by KELLAM,PAIGE",,,"REBOUND DEF by KELLAM,PAIGE",1,defensive rebound,,Centre,paige kellam,,
37,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,37,15:19,,,,,"MISS 3PTR by ANDREASSEN,CAROLINE",,,"MISS 3PTR by ANDREASSEN,CAROLINE",1,three pointer,missed,Centre,caroline andreassen,,919
38,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,38,--,"REBOUND DEF by SMITH,BLAIRE",,,,,,,"REBOUND DEF by SMITH,BLAIRE",1,defensive rebound,,rhodes college,blaire smith,,
39,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,39,15:09,,,,,"FOUL  by GUY,ALEXIS",,,"FOUL  by GUY,ALEXIS",1,foul,,Centre,alexis guy,,909
40,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,40,15:09,"TURNOVER  by DANIELS,SYMONE",,,,,,,"TURNOVER  by DANIELS,SYMONE",1,turnover,,rhodes college,symone daniels,,909
41,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,41,15:09,"SUB IN by KRAMER,BAILEY",,,,,,,"SUB IN by KRAMER,BAILEY",1,subbing in,,rhodes college,bailey kramer,,909
42,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,42,15:09,"SUB IN by DEERY,ERIN",,,,,,,"SUB IN by DEERY,ERIN",1,subbing in,,rhodes college,erin deery,,909
43,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,43,15:09,"SUB OUT by TODMAN,DY'NELLE",,,,,,,"SUB OUT by TODMAN,DY'NELLE",1,subbing out,,rhodes college,dy'nelle todman,,909
44,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,44,15:09,"SUB OUT by GOODRUM,NATALIE",,,,,,,"SUB OUT by GOODRUM,NATALIE",1,subbing out,,rhodes college,natalie goodrum,,909
45,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,45,14:42,,,,,"TURNOVER  by JUDY,MICHELE",,,"TURNOVER  by JUDY,MICHELE",1,turnover,,Centre,michele judy,,882
46,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,46,14:34,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1,timeout,,Centre,,,874
47,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,47,14:34,,,,,"SUB IN by JUDY,MICHELE",,,"SUB IN by JUDY,MICHELE",1,subbing in,,Centre,michele judy,,874
48,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,48,14:34,,,,,"SUB IN by SCHAD,OLIVIA",,,"SUB IN by SCHAD,OLIVIA",1,subbing in,,Centre,olivia schad,,874
49,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,49,14:34,,,,,"SUB IN by LEWIS,KENDALL",,,"SUB IN by LEWIS,KENDALL",1,subbing in,,Centre,kendall lewis,,874
50,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,50,14:34,,,,,"SUB OUT by GUY,ALEXIS",,,"SUB OUT by GUY,ALEXIS",1,subbing out,,Centre,alexis guy,,874
51,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,51,14:34,,,,,"SUB OUT by HARTLAGE,MAGGIE",,,"SUB OUT by HARTLAGE,MAGGIE",1,subbing out,,Centre,maggie hartlage,,874
52,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,52,14:34,,,,,"SUB OUT by KELLAM,PAIGE",,,"SUB OUT by KELLAM,PAIGE",1,subbing out,,Centre,paige kellam,,874
53,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,53,14:22,"FOUL  by KRAMER,BAILEY",,,,,,,"FOUL  by KRAMER,BAILEY",1,foul,,rhodes college,bailey kramer,,862
