,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,TMCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
51,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,51,14:29,"SUB OUT by MOSS,SYDNEY",,,,,,,"SUB OUT by MOSS,SYDNEY",1,subbing out,,thomas more college,sydney moss,,869
52,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,52,14:29,"SUB OUT by SANTAMARIA,ALEXA",,,,,,,"SUB OUT by SANTAMARIA,ALEXA",1,subbing out,,thomas more college,alexa santamaria,,869
53,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,53,14:17,"MISS 3PTR by WAINSCOTT,SYDNI",,,,,,,"MISS 3PTR by WAINSCOTT,SYDNI",1,three pointer,missed,thomas more college,sydni wainscott,,857
54,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,54,--,"REBOUND OFF by KRUSLING,STEPHANIE",,,,,,,"REBOUND OFF by KRUSLING,STEPHANIE",1,offensive rebound,,thomas more college,stephanie krusling,,
55,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,55,14:10,,,,,"SUB IN by COLLIVER,OLIVIA",,,"SUB IN by COLLIVER,OLIVIA",1,subbing in,,Centre,olivia colliver,,850
56,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,56,14:10,,,,,"SUB OUT by JUDY,MICHELE",,,"SUB OUT by JUDY,MICHELE",1,subbing out,,Centre,michele judy,,850
57,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,57,14:03,"MISS LAYUP by KRUSLING,STEPHANIE",,,,,,,"MISS LAYUP by KRUSLING,STEPHANIE",1,layup,missed,thomas more college,stephanie krusling,,843
58,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,58,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
59,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,59,14:00,,,,,"SUB IN by LEWIS,KENDALL",,,"SUB IN by LEWIS,KENDALL",1,subbing in,,Centre,kendall lewis,,840
60,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,60,14:00,,,,,"SUB OUT by GUY,ALEXIS",,,"SUB OUT by GUY,ALEXIS",1,subbing out,,Centre,alexis guy,,840
61,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,61,13:27,,,,,"TURNOVER  by KELLAM,PAIGE",,,"TURNOVER  by KELLAM,PAIGE",1,turnover,,Centre,paige kellam,,807
62,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,62,13:22,"MISS JUMPER by CADY,SAM",,,,,,,"MISS JUMPER by CADY,SAM",1,jumper,missed,thomas more college,sam cady,,802
63,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,63,--,"REBOUND OFF by WAINSCOTT,SYDNI",,,,,,,"REBOUND OFF by WAINSCOTT,SYDNI",1,offensive rebound,,thomas more college,sydni wainscott,,
64,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,64,13:13,"GOOD LAYUP by PAUL,KIRSTEN(in the paint)",16 (+8),,8,,TMCW 16-8 (-8),,"GOOD LAYUP by PAUL,KIRSTEN(in the paint)",1,layup,good,thomas more college,kirsten paul,2,793
65,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,65,12:59,,,,,"TURNOVER  by COLLIVER,OLIVIA",,,"TURNOVER  by COLLIVER,OLIVIA",1,turnover,,Centre,olivia colliver,,779
66,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,66,12:57,"STEAL  by CADY,SAM",,,,,,,"STEAL  by CADY,SAM",1,steal,,thomas more college,,,777
