,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HANOVER,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
38,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,38,16:42,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1,timeout,,Centre,,,1002
39,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,39,16:42,"GOOD FT by CAUDILL,MEGAN",12 (+10),,2,,HANOVER 12-2 (-10),,"GOOD FT by CAUDILL,MEGAN",1,free throw,good,hanover college,megan caudill,1,1002
40,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,40,16:29,,,,,"MISS LAYUP by MCKNIGHT,KAITLYN",,,"MISS LAYUP by MCKNIGHT,KAITLYN",1,layup,missed,Centre,kaitlyn mcknight,,989
41,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,41,--,,,,,"REBOUND OFF by MCKNIGHT,KAITLYN",,,"REBOUND OFF by MCKNIGHT,KAITLYN",1,offensive rebound,,Centre,kaitlyn mcknight,,
42,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,42,16:25,,12 (+8),,4,"GOOD JUMPER by HARTLAGE,MAGGIE",CENTRE_W 12-4 (-8),,"GOOD JUMPER by HARTLAGE,MAGGIE",1,jumper,good,Centre,maggie hartlage,2,985
43,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,43,--,,,,,"ASSIST  by MCKNIGHT,KAITLYN",,,"ASSIST  by MCKNIGHT,KAITLYN",1,assist,,Centre,kaitlyn mcknight,,
44,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,44,16:06,"GOOD JUMPER by NASH,ALLISON",14 (+10),,4,,HANOVER 14-4 (-10),,"GOOD JUMPER by NASH,ALLISON",1,jumper,good,hanover college,allison nash,2,966
45,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,45,--,"ASSIST  by HOPKINS,ALICIA",,,,,,,"ASSIST  by HOPKINS,ALICIA",1,assist,,hanover college,alicia hopkins,,
46,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,46,15:46,,,,,"TURNOVER  by KELLAM,PAIGE",,,"TURNOVER  by KELLAM,PAIGE",1,turnover,,Centre,paige kellam,,946
47,6,hanover,Hanover College,Centre College,58-101,58,101,"33, 25, 58","50, 51, 101",33,25,58,50,51,101,2-4,4-2,12/16/14,Lose,126,No Location Recorded,7:00 PM,H,47,15:44,"STEAL  by CAUDILL,MEGAN",,,,,,,"STEAL  by CAUDILL,MEGAN",1,steal,,hanover college,,,944
