,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
34,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,34,--,"ASSIST  by GUY,ALEXIS",,,,,,,"ASSIST  by GUY,ALEXIS",1,assist,,Centre,alexis guy,,
35,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,35,16:45,,7 (+2),,5,"GOOD 3PTR by KNOWLES,HALLE",BSC 7-5 (+2),,"GOOD 3PTR by KNOWLES,HALLE",1,three pointer,good,birmingham-southern,halle knowles,3,1005
36,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,36,--,,,,,"ASSIST  by CURRY,ASHLEY",,,"ASSIST  by CURRY,ASHLEY",1,assist,,birmingham-southern,ashley curry,,
37,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,37,16:34,,,,,"FOUL  by KNOWLES,HALLE",,,"FOUL  by KNOWLES,HALLE",1,foul,,birmingham-southern,halle knowles,,994
38,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,38,16:20,"MISS LAYUP by GUY,ALEXIS",,,,,,,"MISS LAYUP by GUY,ALEXIS",1,layup,missed,Centre,alexis guy,,980
39,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,39,16:20,,,,,"BLOCK  by DEBAETS,BREANNE",,,"BLOCK  by DEBAETS,BREANNE",1,block,,birmingham-southern,breanne debaets,,980
40,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,40,--,,,,,"REBOUND DEF by DEBAETS,BREANNE",,,"REBOUND DEF by DEBAETS,BREANNE",1,defensive rebound,,birmingham-southern,breanne debaets,,
41,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,41,16:14,,,,,"TURNOVER  by CURRY,ASHLEY",,,"TURNOVER  by CURRY,ASHLEY",1,turnover,,birmingham-southern,ashley curry,,974
42,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,42,16:12,"STEAL  by RHULE,BONNIE",,,,,,,"STEAL  by RHULE,BONNIE",1,steal,,Centre,,,972
43,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,43,16:05,,,,,"FOUL  by ADAMS,ALEXIS",,,"FOUL  by ADAMS,ALEXIS",1,foul,,birmingham-southern,alexis adams,,965
44,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,44,15:53,"GOOD JUMPER by HARTLAGE,MAGGIE(in the paint)",9 (+4),,5,,CENTRE_W 9-5 (+4),,"GOOD JUMPER by HARTLAGE,MAGGIE(in the paint)",1,jumper,good,Centre,maggie hartlage,2,953
45,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,45,15:45,"FOUL  by RHULE,BONNIE",,,,,,,"FOUL  by RHULE,BONNIE",1,foul,,Centre,bonnie rhule,,945
46,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,46,15:45,,9 (+3),,6,"GOOD FT by CURRY,ASHLEY",BSC 9-6 (+3),,"GOOD FT by CURRY,ASHLEY",1,free throw,good,birmingham-southern,ashley curry,1,945
47,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,47,15:45,,9 (+2),,7,"GOOD FT by CURRY,ASHLEY",BSC 9-7 (+2),,"GOOD FT by CURRY,ASHLEY",1,free throw,good,birmingham-southern,ashley curry,1,945
48,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,48,15:45,"SUB IN by ANDREASSEN,CAROLINE",,,,,,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,945
49,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,49,15:45,"SUB IN by ABBOTT,CAROLINE",,,,,,,"SUB IN by ABBOTT,CAROLINE",1,subbing in,,Centre,caroline abbott,,945
50,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,50,15:45,"SUB OUT by KELLAM,PAIGE",,,,,,,"SUB OUT by KELLAM,PAIGE",1,subbing out,,Centre,paige kellam,,945
51,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,51,15:45,"SUB OUT by COLLIVER,OLIVIA",,,,,,,"SUB OUT by COLLIVER,OLIVIA",1,subbing out,,Centre,olivia colliver,,945
52,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,52,15:31,"SUB IN by SCHAD,OLIVIA",,,,,,,"SUB IN by SCHAD,OLIVIA",1,subbing in,,Centre,olivia schad,,931
53,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,53,15:31,"SUB OUT by RHULE,BONNIE",,,,,,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,931
54,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,54,15:15,"MISS LAYUP by GUY,ALEXIS",,,,,,,"MISS LAYUP by GUY,ALEXIS",1,layup,missed,Centre,alexis guy,,915
55,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,55,--,,,,,"REBOUND DEF by ADAMS,ALEXIS",,,"REBOUND DEF by ADAMS,ALEXIS",1,defensive rebound,,birmingham-southern,alexis adams,,
56,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,56,14:57,,9,,10 (+1),"GOOD 3PTR by CURRY,ASHLEY",BSC 9-10 (-1),,"GOOD 3PTR by CURRY,ASHLEY",1,three pointer,good,birmingham-southern,ashley curry,3,897
57,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,57,--,,,,,"ASSIST  by KNOWLES,HALLE",,,"ASSIST  by KNOWLES,HALLE",1,assist,,birmingham-southern,halle knowles,,
58,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,58,14:41,"MISS JUMPER by HARTLAGE,MAGGIE",,,,,,,"MISS JUMPER by HARTLAGE,MAGGIE",1,jumper,missed,Centre,maggie hartlage,,881
59,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,59,--,,,,,"REBOUND DEF by PEURSEM,LAURA VAN",,,"REBOUND DEF by PEURSEM,LAURA VAN",1,defensive rebound,,birmingham-southern,laura van peursem,,
60,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,60,14:37,"SUB IN by LEWIS,KENDALL",,,,,,,"SUB IN by LEWIS,KENDALL",1,subbing in,,Centre,kendall lewis,,877
61,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,61,14:37,"SUB IN by KELLAM,PAIGE",,,,,,,"SUB IN by KELLAM,PAIGE",1,subbing in,,Centre,paige kellam,,877
